"aliquot_id","T_cells_CD8","T_cells_CD4","B_cells","NK_cells","Macrophage","Dendritic_cells","Mast_cells","Neutrophils","Eosinophils"
"TCGA-04-1332-01A",0.561071543040572,0.788468960499764,0.066202881581558,0.419797969182159,1.910989520681,0.0356828817160485,0.413038447331703,0.00432811342043184,0
"TCGA-04-1341-01A",0.0790186494374131,0.660814320948808,0.841005452671151,0.327578978152446,2.21584708218944,0.101595035029468,0.959096748828155,0,0.19995228506859
"TCGA-04-1357-01A",2.19182066950145,3.21376946164289,0.732799757230917,0.444033237545241,4.67061954152035,0.197087045868346,0.0251320698567416,0,0
"TCGA-04-1364-01A",0.397049794860605,0.311836330698555,0.229805466892107,0,0.810446848578587,0,0.33645439213834,0,0.0953769436826139
"TCGA-04-1530-01A",0.550138486950778,2.58067915159213,0.734102082425945,0.600769074831354,3.52922425416265,0,0.18478243830677,0,0
"TCGA-04-1655-01A",0.307857277522254,0,0.241422888832498,0.137440359443337,0.607556360955928,0.314644138038314,0.026665339852831,0,0.225570554118926
"TCGA-09-0366-01A",1.75777062714967,2.98690658085291,0.40380810829297,1.55496101388453,11.1025116078527,0.234978780638299,1.40489380040508,0.441329140282723,0.00126012956623487
"TCGA-09-0369-01A",0,1.25396474847997,0.156604648730143,0.232726866531986,5.48597244926699,0,0.0442605008338025,0,0
"TCGA-09-1659-01B",0.729130977391853,1.52897173202036,0.246341056432958,0.601345988689293,5.62927261818162,1.0381455378854,0.09179421817484,0,0
"TCGA-09-1661-01B",0.239041461714426,0.366898752203234,0.299747058309507,0.279624613642876,0.9322561841935,0.174232123097117,0.153287677238896,0,0
"TCGA-09-1662-01A",0.410861950823929,3.64791935076928,0.404526878364477,0.870356065210873,8.96118141932111,0.258726580536173,0.202086929705271,0,0
"TCGA-09-1667-01C",0,2.5720860448158,0.421407458348574,1.33706144410833,6.70063062449536,0.198090493114101,0.610051117170066,0,0
"TCGA-09-1668-01B",0.916062010356201,4.63532717726676,1.6585563195991,1.01195248684006,6.54989174181042,0.660961146303984,0.765586069980516,0,0
"TCGA-09-1669-01A",1.43323944550599,2.19700676255968,1.43805713906484,0.41501626371407,2.92928322605069,0,0.102353548909891,0,0
"TCGA-09-1670-01A",0,3.08850629212863,0.013641754455099,0.760265003563548,3.53382945679715,0.0272096465103349,2.01213329670338,0.0384563200211926,0
"TCGA-09-1673-01A",0.597688214130763,1.04770561300449,0.0188735162916241,0.239256440032325,1.85272929487188,0,1.43058257247116,0.0415578311354268,0.0620837256428016
"TCGA-09-1674-01A",0,0.525690208107148,1.26423078792684,0.411614407995873,3.47498903467379,0,0.351818228524161,0,0
"TCGA-09-2044-01B",1.6017399834532,1.8365462162831,1.11746691313808,0.928620840410608,6.36266187858708,0,0.201396283109772,0.0134824926374181,0
"TCGA-09-2048-01A",0,0.948454548953292,0.2724941162258,0.0245260769761201,0.996955575593401,0.0197255760150137,0.645211322484566,0,0.135640810737371
"TCGA-09-2051-01A",0.193087173792424,2.88868616778645,1.93855993950513,1.2732511752546,5.81964377244012,3.20498237460407,0.625688166412366,0.0452945282183308,0
"TCGA-09-2053-01C",1.41781824987471,1.41157521521352,1.12987117260361,0.582505992644907,5.27442420430595,0,0,0,0
"TCGA-13-0725-01A",0.426500902414225,0.970713800007739,1.5870143432653,0,3.40302338542725,0.158758344010693,0.323562085645982,0.057442186196425,0
"TCGA-13-0765-01A",0.502656276743265,1.50680063237296,0.116314635854763,0.194824520761204,4.22835553708744,0.137128315053599,0.293221301845525,0,0
"TCGA-13-0766-01A",0.0578765076789538,0.189986318597606,0.126456119534952,0.0663343800288951,0.766280726041688,0.605461389250738,0.0217364022468664,0,0
"TCGA-13-0768-01A",4.90436711733617,4.86368804635601,2.21716704337346,1.21163633559272,5.0954204332927,0.10583997580449,0.680595368699109,0,0
"TCGA-13-0795-01A",0.744695198462943,0.90417219381657,0.343591433633114,0.165967635485796,3.4843539149733,0.180251932085698,0.121215994031382,0,0
"TCGA-13-0797-01A",0.0713571300310259,1.01306301129588,0.321674070137147,0.6560867105079,2.13595607782894,0.0702523171075163,1.01102656698252,0,0.367594050759787
"TCGA-13-0799-01A",0,1.44644604171592,0.0531876200040778,0.560792274404532,2.59345157053537,1.45723388116993,0.386936889590029,0,0.00904117251067191
"TCGA-13-0801-01A",1.04501021411725,1.00803512816451,0.542107594745836,0.7652295043817,15.0927000848121,0.255719158375848,0.188207018830131,0,0
"TCGA-13-0804-01A",0.366012328987528,0.494115955550789,0.18826134791835,0.465540811409889,3.24921815540108,0.101771696183364,0.106616707237985,0.0841095915470136,0
"TCGA-13-0883-01A",0.99341433881631,2.48189344397854,0.108967211822059,0.275045559078258,5.97021980596789,0,0.182743336085704,0.111763085030493,0
"TCGA-13-0885-01A",0.81091810597078,1.68228137443191,0.153174386092167,0.0552506149710145,4.15674905915776,0.135747045188249,0.133626976367065,0,0
"TCGA-13-0886-01A",0.868526304374889,2.68994120389771,1.17374470982823,0.621907694542089,4.55843817951312,0.938515694046112,0,0,0
"TCGA-13-0887-01A",0.367888507877846,0.445423262715262,0.929725522448671,0.326475448759557,1.52724971863118,1.62343448526244,0.264191383785832,0.00753616621689967,0
"TCGA-13-0888-01A",0,0.307543262362747,0.000193782062001026,0.0546908569775392,0.281920378288798,0.00566498677636049,0.157956598219291,0,0.0218229025087946
"TCGA-13-0891-01A",0,0.522416828484221,0.0110870090047749,0.200411863379207,1.19555295457974,0.151393531471074,0.0867452701592501,0,0
