"HumanGene","2021_Nature_Kamber_Ramos_macrophage_posscore","2021_Nature_Kamber_Ramos_macrophage_posrank","2021_Nature_Kamber_Ramos_macrophage_negscore","2021_Nature_Kamber_Ramos_macrophage_negrank"
"NUP153",0.13548,6778,0.96135,19447
"NUP155",0.013909,1351,0.072553,4174
"NUP160",0.057882,3849,0.31579,10817
"NUP188",0.60436,15658,0.014731,1463
"NUP205",0.63608,16103,0.078597,4418
"NUP210",0.01325,1300,0.30539,10606
"NUP210L",0.25294,9923,0.43616,12932
"NUP214",0.93661,19109,0.58303,15148
"NUP35",0.77319,17529,0.15182,6908
"NUP37",0.013289,1303,0.97191,19668
"NUP43",0.020587,1800,0.8362,18160
"NUP50",0.17589,8053,0.7442,16996
"NUP54",0.57777,15290,0.40757,12561
"NUP62",0.77886,17586,0.37742,12131
"NUP62CL",0.11745,6122,0.61832,15682
"NUP85",0.86535,18532,0.17795,7635
"NUP88",0.96088,19422,0.051744,3362
"NUP93",0.22159,9218,0.013158,1378
"NUP98",0.0096627,1022,0.24583,9238
"NUPL1",0.60025,15608,0.095594,5007
"NUPL2",0.38874,12636,0.060859,3752
"NUPR1",0.98729,19976,0.040013,2776
"NUPR1L",0.12169,6275,0.24827,9295
"NUS1",0.094348,5343,0.79687,17658
"NUSAP1",0.026006,2114,0.25157,9362
"NUTF2",0.50871,14337,0.00058819,313
"NUTM1",0.62893,15992,0.004824,763
"NUTM2A",0.12834,6520,0.47813,13546
"NUTM2B",0.48146,13971,0.57831,15064
"NUTM2D",0.90884,18883,0.13044,6223
"NUTM2E",0.16867,7841,0.31368,10772
"NUTM2F",0.29383,10789,0.16978,7442
"NUTM2G",0.69717,16832,0.024223,1993
"NVL",0.1702,7885,0.86143,18483
"NWD1",0.85327,18392,0.013874,1413
"NXF1",0.99183,20102,0.29056,10289
"NXF2",0.25722,10013,0.63594,15939
"NXF2B",0.77,17502,0.34157,11400
"NXF3",0.32585,11419,0.13293,6308
"NXF5",0.24403,9721,0.7368,16916
"NXN",0.067342,4307,0.83186,18100
"NXNL1",0.8798,18705,0.027469,2147
"NXNL2",0.017389,1619,0.42198,12734
"NXPE1",0.26799,10257,0.077136,4360
"NXPE2",0.045427,3199,0.18839,7887
"NXPE3",0.46231,13720,0.0033692,642
"NXPE4",0.23002,9402,0.16866,7411
"NXPH1",0.63078,16026,0.51248,14083
"NXPH2",0.0070902,799,0.058061,3630
"NXPH3",0.27459,10381,0.96083,19439
"NXPH4",0.4618,13712,0.91448,18891
"NXT1",0.99848,20333,6.4187e-07,75
"NXT2",0.027394,2195,0.79675,17657
"NYAP1",0.36903,12258,0.78782,17555
"NYAP2",0.33935,11658,0.16806,7392
"NYNRIN",0.37819,12422,0.13186,6268
"NYX",0.15286,7350,0.0278,2177
"OAF",0.16639,7769,0.56129,14798
"OARD1",0.18262,8269,0.33067,11122
"OAS1",0.1629,7655,0.49433,13794
"OAS2",0.42868,13259,0.16015,7161
"OAS3",0.24463,9731,0.061181,3760
"OASL",0.57534,15260,0.4912,13738
