"HumanGene","2021_Nature_Kamber_Ramos_macrophage_posscore","2021_Nature_Kamber_Ramos_macrophage_posrank","2021_Nature_Kamber_Ramos_macrophage_negscore","2021_Nature_Kamber_Ramos_macrophage_negrank"
"A1BG",0.77389,17534,0.34516,11482
"A1CF",0.2072,8911,0.17361,7522
"A2M",0.00017076,115,0.16861,7409
"A2ML1",0.097647,5458,0.58489,15186
"A3GALT2",0.0098652,1036,0.89931,18756
"A4GALT",0.062575,4095,0.77547,17394
"A4GNT",0.01012,1062,0.65399,16147
"AAAS",0.69474,16814,0.39335,12365
"AACS",0.20948,8955,0.92063,18945
"AADAC",0.046415,3245,0.50173,13911
"AADACL2",0.016863,1583,0.37244,12029
"AADACL3",0.013509,1320,0.49467,13802
"AADACL4",0.50162,14248,0.45658,13244
"AADAT",0.97864,19759,0.34767,11535
"AAED1",0.37893,12436,0.091629,4871
"AAGAB",0.71383,16964,0.067422,3987
"AAK1",0.39854,12794,0.0089132,1082
"AAMDC",0.29766,10867,0.034406,2502
"AAMP",0.02418,2009,0.80589,17766
"AANAT",0.16637,7766,0.58617,15206
"AAR2",0.63374,16066,0.086296,4663
"AARD",0.38207,12506,0.17493,7556
"AARS",0.34566,11775,0.62668,15801
"AARS2",0.79676,17764,0.4881,13682
"AARSD1",0.013704,1335,0.47093,13463
"AASDH",0.96162,19430,0.14033,6566
"AASDHPPT",0.99316,20146,0.28011,10037
"AASS",0.59318,15516,0.94414,19175
"AATF",0.63908,16147,0.094207,4964
"AATK",0.59653,15554,0.49899,13867
"ABAT",0.70763,16917,0.16542,7309
"ABCA1",0.00096621,241,0.92772,19013
"ABCA10",0.072579,4496,0.15087,6875
"ABCA12",0.15891,7539,0.012399,1321
"ABCA13",0.0752,4615,0.12505,6047
"ABCA2",0.7468,17280,0.72289,16769
"ABCA3",0.9753,19677,0.021749,1854
"ABCA4",0.84348,18276,0.44229,13019
"ABCA5",0.14709,7168,0.91653,18908
"ABCA6",0.061482,4044,0.83927,18194
"ABCA7",0.71144,16950,0.23272,8912
"ABCA8",0.27876,10473,0.15278,6936
"ABCA9",0.83987,18242,0.12067,5907
"ABCB1",0.20325,8828,0.074382,4243
"ABCB10",0.31344,11179,0.48624,13656
"ABCB11",0.59043,15485,0.11215,5614
"ABCB4",0.60344,15642,0.21276,8465
"ABCB5",0.12086,6255,0.054275,3469
"ABCB6",0.11871,6175,0.092853,4921
"ABCB7",0.076115,4656,0.14504,6704
"ABCB8",0.030174,2334,0.5215,14216
"ABCB9",0.089323,5164,0.84991,18339
"ABCC1",0.46265,13726,0.62118,15726
"ABCC10",0.037703,2767,0.26469,9671
"ABCC11",0.58795,15443,0.038155,2697
"ABCC12",0.0070577,795,0.9815,19917
"ABCC2",0.013948,1353,0.44015,12986
"ABCC3",0.031856,2435,0.9516,19280
"ABCC4",0.025153,2071,0.41865,12689
"ABCC5",0.14357,7051,0.58386,15165
"ABCC6",0.1422,7005,0.54808,14600
"ABCC8",0.74726,17287,0.016426,1555
"ABCC9",0.31281,11167,0.49357,13779
"ABCD1",0.18137,8234,0.11702,5776
"ABCD2",0.17093,7911,0.39931,12454
"ABCD3",0.58601,15413,0.0064304,882
"ABCD4",0.2503,9860,0.39928,12453
"ABCE1",0.055597,3744,0.12565,6070
"ABCF1",0.80711,17871,0.32154,10935
"ABCF2",0.0001717,116,0.96102,19441
"ABCF3",0.35004,11862,0.011984,1289
"ABCG1",0.95786,19366,0.051907,3370
"ABCG2",0.051728,3537,0.85325,18379
"ABCG4",0.018364,1681,0.35392,11669
"ABCG5",0.86856,18576,0.42154,12726
"ABCG8",0.2264,9329,0.075979,4312
"ABHD1",0.88499,18749,0.11449,5673
"ABHD10",0.14875,7234,0.00058288,311
"ABHD11",0.017879,1647,0.21593,8540
"ABHD12",0.57958,15316,0.24349,9191
"ABHD12B",0.0018858,333,0.53303,14391
"ABHD13",0.40578,12938,0.74761,17036
"ABHD14A",0.18077,8208,0.085212,4629
"ABHD14A-ACY1",0.5861,15416,0.098266,5104
"ABHD14B",0.11505,6045,0.33497,11228
"ABHD15",0.60423,15656,0.1419,6608
"ABHD16A",0.56738,15158,0.10157,5218
"ABHD16B",0.10083,5566,0.55947,14769
"ABHD17A",0.31641,11224,0.79621,17652
"ABHD17B",0.098511,5489,0.39909,12449
"ABHD17C",0.15214,7332,0.60672,15516
"ABHD2",0.019544,1750,0.065671,3930
"ABHD3",0.17337,7981,0.91825,18920
"ABHD4",0.97316,19632,0.068884,4042
"ABHD5",0.030732,2371,0.36761,11936
"ABHD6",0.036786,2714,0.16962,7436
"ABHD8",0.079883,4791,0.093668,4946
"ABI1",0.12453,6392,0.29994,10502
"ABI2",0.010728,1112,0.79462,17635
"ABI3",0.27199,10337,0.40289,12505
"ABI3BP",0.48315,14003,0.26626,9717
"ABL1",0.030663,2367,0.068806,4038
"ABL2",0.042812,3048,0.23725,9018
"ABLIM1",0.03933,2869,0.1629,7242
"ABLIM2",0.03467,2602,0.9961,20312
"ABLIM3",0.35802,12035,0.2992,10479
"ABR",0.11914,6193,0.85381,18390
"ABRA",0.014079,1360,0.23647,9001
"ABRACL",0.024308,2013,0.97399,19706
"ABT1",0.2762,10417,0.06694,3969
"ABTB1",0.17745,8097,0.019624,1725
"ABTB2",0.24531,9746,0.24038,9112
"AC000003.2",0.033761,2547,0.35401,11671
"AC002310.13",0.054139,3662,0.30223,10548
"AC002365.1",0.21838,9157,0.19507,8038
"AC002398.9",0.0047195,589,0.49149,13742
"AC002451.1",0.55792,15005,0.26567,9707
"AC002472.1",0.75133,17330,0.037613,2662
"AC002472.13",0.40158,12867,0.53786,14456
"AC002985.3",0.23247,9467,0.27812,9987
"AC003002.4",0.38533,12571,0.97181,19667
"AC003002.6",0.074211,4569,0.909,18834
"AC003005.4",0.89611,18815,0.51087,14052
"AC003006.7",0.42145,13157,0.12648,6097
"AC003043.1",0.094839,5365,0.90516,18803
"AC003101.1",0.075513,4632,0.44173,13011
"AC003102.1",0.15412,7395,0.747,17024
"AC004017.1",0.88329,18741,0.70808,16621
"AC004076.7",0.97537,19680,0.48134,13585
"AC004076.9",0.059335,3933,0.69941,16543
"AC004381.6",0.16086,7600,0.97056,19637
"AC004466.1",0.091923,5253,0.54164,14507
"AC004528.1",0.82293,18043,0.17707,7614
"AC004817.1",0.27487,10390,0.080193,4478
"AC004824.2",0.87351,18626,0.23026,8862
"AC004899.1",0.16805,7822,0.29134,10307
"AC005003.1",0.28381,10583,0.22201,8670
"AC005008.2",0.090123,5186,0.04036,2791
"AC005082.1",0.86533,18531,0.025746,2071
"AC005358.1",0.73843,17202,0.57143,14957
"AC005477.1",0.023427,1970,0.94633,19197
"AC005481.5",0.002387,389,0.31267,10750
"AC005488.1",0.6929,16793,0.3071,10646
"AC005493.1",0.67057,16579,0.32943,11100
"AC005544.1",0.10385,5658,0.62272,15757
"AC005549.3",0.35201,11912,0.80836,17804
"AC005606.1",0.92074,18970,0.0011298,398
"AC005609.1",0.4034,12898,0.082744,4558
"AC005779.2",0.5207,14482,0.027141,2131
"AC005841.1",0.29156,10737,0.79727,17661
"AC006116.20",0.0036319,493,0.20633,8332
"AC006126.3",0.058533,3894,0.075755,4299
"AC006156.1",0.042125,3015,0.58516,15192
"AC006372.1",0.010544,1094,0.81186,17852
"AC006435.1",0.11022,5890,0.97645,19768
"AC006449.1",0.40794,12982,0.54561,14562
"AC006455.1",0.24042,9643,0.10627,5396
"AC006486.1",0.50009,14232,0.17021,7448
"AC006486.9",1,20451,1.1147e-06,81
"AC006538.4",0.67632,16651,0.9137,18889
"AC006547.14",0.009733,1027,0.61433,15625
"AC006946.15",0.33125,11513,0.72721,16809
"AC006967.1",0.82811,18097,0.016214,1544
"AC007040.11",0.031819,2433,0.99912,20404
"AC007204.1",0.26984,10291,0.38108,12198
"AC007216.2",0.066708,4282,0.93548,19086
"AC007375.1",0.15543,7429,0.65289,16140
"AC007382.1",0.5397,14752,0.78103,17470
"AC007401.2",0.40786,12980,0.36427,11867
"AC007461.1",0.078721,4752,0.37592,12101
"AC007557.1",0.28245,10553,0.34168,11402
"AC007773.3",0.039951,2900,0.96005,19419
"AC007919.2",0.63546,16087,0.081872,4536
"AC007952.1",0.023698,1980,0.89488,18726
"AC007952.5",0.18408,8317,0.57735,15055
"AC007952.6",0.18202,8250,0.61682,15656
"AC007956.1",0.93031,19049,0.3488,11552
"AC007965.1",0.78231,17620,0.32596,11026
"AC008060.7",0.32831,11456,0.86265,18493
"AC008132.1",0.77722,17571,0.052346,3382
"AC008132.13",0.25485,9958,0.033826,2475
"AC008267.1",0.96129,19424,0.027531,2151
"AC008271.1",0.38337,12536,0.79229,17608
"AC008394.1",0.98521,19924,0.048878,3207
"AC008443.1",0.087783,5100,0.071085,4124
"AC008498.1",0.02063,1803,0.10025,5172
"AC008686.1",0.3712,12295,0.24404,9201
"AC008948.1",0.054347,3674,0.6308,15869
"AC008964.1",0.014033,1358,0.77057,17337
"AC009060.1",0.48787,14063,0.16963,7437
"AC009065.1",0.98676,19963,0.098502,5109
"AC009365.3",0.67898,16673,0.0094516,1121
"AC009403.2",0.30385,10984,0.66382,16226
"AC009802.1",0.019944,1764,0.080862,4502
"AC009892.10",0.8555,18415,0.055339,3525
"AC009977.1",0.91925,18951,0.83901,18191
"AC010327.2",0.12459,6395,0.3716,12012
"AC010336.1",0.62562,15947,0.42216,12736
"AC010441.1",0.19447,8612,0.23922,9078
"AC010536.1",0.56143,15071,0.91036,18853
"AC010547.9",0.28202,10540,0.44586,13064
"AC010642.1",0.97382,19647,0.007297,947
"AC010646.3",0.60315,15636,0.5059,13975
"AC010877.1",0.23154,9433,0.6543,16150
"AC011239.1",0.050842,3482,0.93256,19060
"AC011294.3",0.36071,12092,0.93397,19072
"AC011298.1",0.064431,4179,0.8047,17751
"AC011366.3",0.95112,19279,0.20954,8401
"AC011475.1",0.86572,18538,0.27482,9910
"AC011484.1",0.035273,2636,0.7634,17246
"AC011500.1",0.036318,2688,0.2084,8377
"AC011530.4",0.79718,17767,0.45011,13137
"AC011551.3",0.095235,5382,0.93245,19059
"AC011755.1",0.39711,12777,0.0031128,622
"AC011897.1",0.19808,8710,0.22659,8760
"AC011997.1",0.99752,20292,0.093822,4952
"AC012123.1",0.16298,7661,0.98423,19995
"AC012215.1",0.64888,16266,0.45473,13208
"AC012313.1",0.82577,18074,0.99015,20146
"AC012360.2",0.38128,12482,0.77006,17326
"AC012414.1",0.44602,13496,0.19578,8056
"AC012485.1",0.41038,13019,0.11916,5862
"AC012493.2",0.079972,4796,0.077592,4380
"AC013269.5",0.88391,18744,0.24699,9263
"AC013449.1",0.5186,14459,0.00062342,318
"AC013469.1",0.44843,13532,0.55157,14649
"AC015660.1",0.28029,10503,0.1563,7052
"AC015688.3",0.92189,18981,0.088793,4761
"AC015987.2",0.9089,18884,0.47964,13563
"AC015989.2",0.023738,1984,0.99381,20252
"AC016251.1",0.11071,5911,0.80186,17720
"AC016559.1",0.13982,6928,0.021541,1838
"AC016586.1",0.05032,3457,0.92781,19014
"AC016757.3",0.0071296,804,0.41942,12699
"AC016885.1",0.28418,10590,0.85382,18391
"AC017028.1",0.13092,6619,0.9129,18878
"AC017104.2",0.32237,11345,0.4698,13446
"AC018445.1",0.0081034,895,0.0060653,861
"AC018470.1",0.0011581,262,0.48415,13622
"AC018630.1",0.94382,19182,0.56693,14882
"AC018755.1",0.01706,1599,0.34004,11357
"AC018816.3",0.46781,13795,0.96803,19579
"AC018867.2",0.38023,12463,0.80136,17711
"AC019171.1",0.053895,3650,0.31922,10887
"AC019206.1",0.62867,15990,0.020131,1748
"AC019294.1",0.88626,18758,0.087207,4703
"AC020907.1",0.044389,3136,0.99244,20213
"AC020922.1",0.96222,19439,0.956,19343
"AC020952.1",0.32063,11304,0.83592,18156
"AC021218.2",0.024178,2008,0.34389,11451
"AC021860.1",0.20853,8939,0.93495,19079
"AC022210.1",0.08686,5067,0.91314,18883
"AC022400.2",0.0042252,542,0.60411,15487
"AC022431.2",0.088212,5119,0.29453,10373
"AC022498.1",0.012711,1254,0.14665,6750
"AC022532.1",0.44373,13468,0.36614,11912
"AC023469.1",0.067845,4327,0.15029,6855
"AC023590.1",0.26225,10126,0.51349,14096
"AC023632.1",0.016308,1551,0.007265,941
"AC024257.1",0.35624,11992,0.096649,5043
"AC024580.1",0.17236,7950,0.43733,12946
"AC024592.12",0.99524,20213,1.0009e-05,116
"AC024940.1",0.42757,13241,0.86425,18517
"AC025262.1",0.075792,4642,0.75646,17146
"AC025263.3",0.11102,5922,0.48894,13694
"AC025278.1",0.055913,3760,0.66234,16212
"AC025287.1",0.0067184,767,0.97976,19868
"AC026202.1",0.37158,12301,0.89403,18717
"AC026310.1",0.19621,8662,0.0071738,934
"AC026369.1",0.45779,13671,0.092337,4896
"AC026407.1",0.54573,14827,0.31329,10762
"AC026461.1",0.98585,19945,0.038453,2710
"AC026703.1",0.13385,6725,0.6202,15709
"AC026740.1",0.17354,7986,0.26835,9762
"AC027228.1",0.69847,16838,0.077522,4379
"AC027307.3",0.08817,5118,0.076422,4328
"AC027309.1",0.22955,9395,0.2827,10095
"AC027763.2",0.090092,5184,0.94859,19233
"AC037199.1",0.012613,1245,0.98739,20078
"AC037459.4",0.003987,524,0.35201,11633
"AC040160.1",0.021774,1865,0.095576,5006
"AC040977.1",0.091088,5223,0.91727,18913
"AC055736.1",0.50157,14247,0.49843,13855
"AC061975.10",0.52584,14571,0.41158,12610
"AC061992.1",0.11873,6178,0.41367,12630
"AC062017.1",0.058146,3866,0.8702,18569
"AC064874.1",0.7651,17453,0.97057,19638
"AC068533.7",0.55503,14952,0.97287,19685
"AC068620.1",0.021502,1851,0.23487,8961
"AC068987.1",0.16288,7653,0.5736,15001
"AC069368.3",0.88259,18736,0.11741,5793
"AC069547.1",0.094609,5353,0.52016,14192
"AC069547.2",0.19607,8658,0.1607,7180
"AC073188.1",0.063802,4148,0.9362,19091
"AC073333.1",0.96643,19510,0.32979,11108
"AC073342.1",0.27433,10376,0.98432,19999
"AC073343.1",0.051352,3513,0.085041,4622
"AC073610.5",0.60182,15625,0.29013,10278
"AC073657.1",0.88203,18732,0.60972,15565
"AC074091.13",0.022416,1906,0.71763,16716
"AC074212.3",0.033059,2515,0.4223,12738
"AC074389.6",0.17694,8082,0.0023107,544
"AC078925.1",0.18076,8207,0.33141,11139
"AC079210.1",0.22294,9254,0.6895,16470
"AC079341.1",0.17635,8069,0.020904,1802
"AC079354.1",0.43562,13352,0.60942,15559
"AC079354.2",0.44944,13545,0.30396,10574
"AC079602.1",0.053268,3608,0.97368,19697
"AC079612.1",0.58238,15353,0.8755,18603
"AC083862.1",0.14833,7212,0.035176,2541
"AC087239.1",0.35266,11931,0.26077,9581
"AC087477.1",0.09848,5488,0.85712,18437
"AC087645.1",0.095428,5387,0.14406,6675
"AC090186.1",0.95411,19311,0.22808,8805
"AC090427.1",0.0083335,913,0.00090993,369
"AC090574.1",0.96547,19495,0.034535,2513
"AC090616.2",0.12136,6266,0.096444,5034
"AC090673.2",0.83921,18236,0.56591,14864
"AC091150.1",0.0089002,956,0.40238,12498
"AC091801.1",0.052105,3555,0.01655,1566
"AC091948.1",0.90936,18887,0.090642,4838
"AC092291.2",0.083261,4941,0.97956,19858
"AC092675.3",0.11751,6126,0.23938,9084
"AC092687.4",0.0017825,321,0.8187,17937
"AC092811.1",0.049625,3410,0.95872,19394
"AC092850.1",0.47263,13849,0.13815,6493
"AC092964.1",0.86536,18534,0.26234,9621
"AC092964.2",0.8033,17831,0.27047,9810
"AC093157.1",0.83983,18241,0.078051,4398
"AC093323.1",0.70036,16857,0.02914,2235
"AC093677.1",0.83708,18212,0.067199,3980
"AC093802.1",0.20862,8941,0.051885,3368
"AC096582.1",0.14414,7067,0.025216,2039
"AC096644.1",0.96872,19549,0.031282,2355
"AC096677.1",0.94869,19237,0.20293,8232
"AC097381.1",0.0029766,440,0.11941,5871
"AC099344.1",0.10228,5616,0.25205,9379
"AC099552.4",0.38329,12533,0.86886,18563
"AC102948.2",0.3472,11812,0.22938,8835
"AC103801.2",0.83241,18148,0.58455,15178
"AC103809.2",0.11028,5894,0.35301,11649
"AC104057.1",0.4428,13455,0.60639,15511
"AC104472.1",0.0080433,888,0.75951,17191
"AC104532.2",0.25675,10000,0.44933,13122
"AC104534.3",0.7817,17612,0.76437,17264
"AC104667.3",0.20308,8822,0.058739,3656
"AC104794.4",0.12099,6258,0.76079,17209
"AC104809.3",0.8155,17960,0.11095,5564
"AC104841.2",0.0094797,1003,0.8268,18035
"AC105020.1",0.11996,6222,0.86604,18546
"AC106017.1",0.30829,11075,0.69171,16485
"AC106873.4",0.11187,5951,0.58407,15169
"AC106876.2",0.036644,2704,0.62088,15719
"AC107021.1",0.62905,15994,0.097807,5093
"AC108868.1",0.28919,10695,0.71081,16655
"AC109583.1",0.71853,17018,0.28147,10064
"AC109829.1",0.99245,20128,0.16026,7164
"AC110615.1",0.82886,18103,0.79944,17684
"AC110619.2",0.12036,6237,0.63172,15879
"AC110771.1",0.7034,16882,0.7994,17682
"AC110781.3",0.71523,16988,0.31992,10903
"AC110792.1",0.017473,1627,0.83284,18116
"AC111200.1",0.33059,11500,0.66941,16278
"AC112205.1",0.79967,17790,0.49352,13777
"AC112693.2",0.01633,1554,0.94202,19153
"AC112715.2",0.19797,8706,0.29721,10433
"AC112721.1",0.063646,4137,0.63686,15957
"AC114494.1",0.07772,4719,0.10272,5259
"AC114546.1",0.33098,11508,0.23451,8956
"AC114783.1",0.58338,15372,0.19989,8161
"AC115618.1",0.047935,3314,0.35079,11606
"AC116407.2",0.6615,16446,0.81117,17844
"AC117395.1",0.085861,5026,0.55898,14762
"AC117834.1",0.015815,1516,0.024117,1989
"AC119673.1",0.1154,6058,0.12657,6100
"AC120194.1",0.075148,4613,0.92485,18983
"AC121757.1",0.75435,17351,0.24565,9232
"AC124890.1",0.17965,8170,0.99565,20299
"AC126614.1",0.44691,13511,0.087371,4711
"AC127496.1",0.56514,15123,0.76284,17238
"AC129492.6",0.2366,9554,0.51369,14099
"AC131097.4",0.030826,2375,0.11664,5763
"AC131935.1",0.038045,2790,0.90691,18814
"AC131971.1",0.15384,7384,0.20542,8308
"AC132186.1",0.58869,15457,0.51142,14063
"AC132192.1",0.051435,3518,0.58788,15235
"AC132216.1",0.014762,1427,0.035128,2536
"AC132872.2",0.28956,10701,0.73186,16856
"AC135048.1",0.42131,13155,0.73787,16928
"AC135178.1",0.00072843,201,0.65325,16143
"AC135983.2",0.181,8217,0.28101,10055
"AC136297.1",0.28581,10624,0.50637,13978
"AC136604.1",0.087466,5091,0.29597,10406
"AC137056.1",0.018643,1707,0.74799,17043
"AC137932.1",0.29286,10771,0.24121,9138
"AC138393.1",0.12295,6328,0.87705,18613
"AC138517.1",0.47477,13882,0.4782,13547
"AC138647.1",0.12787,6503,0.96265,19471
"AC138655.1",0.014003,1354,0.76481,17272
"AC139100.2",0.24251,9695,0.84308,18242
"AC139426.2",0.012897,1270,0.66626,16247
"AC140061.12",0.01279,1260,0.96738,19566
"AC140481.2",0.18031,8190,0.10927,5510
"AC142381.1",0.87575,18655,0.70484,16593
"AC144568.2",0.19398,8599,0.043758,2973
"AC145676.2",0.91533,18925,0.47823,13548
"AC174470.1",0.15538,7427,0.078334,4409
"AC187652.1",0.8571,18437,0.056429,3568
"AC226150.4",0.43485,13338,0.77414,17373
"ACAA1",0.8853,18753,0.033642,2464
"ACAA2",0.0052898,642,0.98853,20111
"ACACA",0.00022839,122,0.99035,20151
"ACACB",0.50441,14284,0.88497,18657
"ACAD10",0.83887,18231,0.022289,1885
"ACAD11",0.06724,4304,0.98209,19937
"ACAD8",0.72105,17043,0.078064,4399
"ACAD9",0.81455,17946,0.00047747,288
"ACADL",0.73481,17169,0.44906,13116
"ACADM",0.038411,2808,0.54674,14582
"ACADS",0.36112,12100,0.14059,6572
"ACADSB",0.13753,6851,0.86204,18487
"ACADVL",0.05498,3708,0.67099,16298
"ACAN",0.91964,18957,0.047672,3152
"ACAP1",0.19548,8645,0.2889,10246
"ACAP2",0.021781,1866,0.97064,19642
"ACAP3",0.12421,6379,0.44421,13049
"ACAT1",0.13777,6855,0.48565,13648
"ACAT2",0.83804,18223,0.15425,6982
"ACBD3",0.98976,20039,0.006937,922
"ACBD4",0.051261,3506,0.46211,13330
"ACBD5",0.041044,2958,0.53268,14384
"ACBD6",0.93496,19090,0.75565,17135
"ACBD7",0.65448,16342,0.45261,13168
"ACCS",0.35159,11901,0.37219,12022
"ACCSL",0.90669,18872,0.5568,14733
"ACD",0.12867,6532,0.089782,4804
"ACE",0.064168,4170,0.54485,14552
"ACE2",0.046159,3238,0.082093,4541
"ACER1",0.64495,16226,0.24129,9140
"ACER2",0.55094,14904,0.020529,1782
"ACER3",0.6584,16398,0.086683,4678
"ACHE",0.099342,5514,0.1734,7518
"ACIN1",0.04332,3076,0.082568,4550
"ACKR2",0.49112,14106,0.12203,5943
"ACKR3",0.010133,1064,0.95099,19271
"ACKR4",0.27481,10388,0.58477,15183
"ACLY",0.25085,9873,0.25524,9452
"ACMSD",0.014141,1364,0.58407,15170
"ACN9",0.19834,8717,0.39804,12435
"ACO1",0.091056,5221,0.23838,9053
"ACO2",0.80881,17883,0.063805,3854
"ACOT1",0.014195,1370,0.96375,19495
"ACOT11",0.48165,13977,0.037506,2648
"ACOT12",0.1562,7455,0.13204,6278
"ACOT13",0.032911,2506,0.42386,12757
"ACOT2",0.27481,10389,0.2733,9876
"ACOT4",0.39018,12666,0.20677,8344
"ACOT6",0.063371,4126,0.93497,19080
"ACOT7",0.34953,11852,0.26893,9770
"ACOT8",0.83425,18178,0.15471,6999
"ACOT9",0.14499,7093,0.28524,10164
"ACOX1",0.55415,14934,0.030398,2305
"ACOX2",0.76442,17446,0.32683,11045
"ACOX3",0.11485,6042,0.14462,6690
"ACOXL",0.50718,14318,0.052933,3401
"ACP1",0.012874,1267,0.32241,10952
"ACP2",0.097821,5464,0.27298,9868
"ACP5",0.2149,9069,0.26646,9723
"ACP6",0.12653,6459,0.18141,7719
"ACPL2",0.11258,5969,0.93543,19084
"ACPP",0.80647,17867,0.13728,6455
"ACPT",0.032383,2475,0.33483,11222
"ACR",0.59973,15598,0.34958,11572
"ACRBP",0.38906,12642,0.91534,18898
"ACRC",0.0030432,444,0.073109,4189
"ACRV1",0.48378,14008,0.11858,5836
"ACSBG1",0.82135,18028,0.017197,1597
"ACSBG2",0.26835,10263,0.60152,15446
"ACSF2",0.11863,6170,0.61145,15587
"ACSF3",0.29838,10881,0.22338,8697
"ACSL1",0.19536,8641,0.71921,16733
"ACSL3",0.99379,20165,0.0039589,697
"ACSL4",0.13813,6865,0.57844,15065
"ACSL5",0.9308,19057,0.24569,9234
"ACSL6",0.0892,5157,0.92207,18955
"ACSM1",0.20383,8842,0.083556,4581
"ACSM2A",0.15384,7383,0.36863,11957
"ACSM2B",0.38191,12498,0.28383,10131
"ACSM3",0.94644,19214,0.021153,1816
"ACSM4",0.18055,8197,0.13334,6323
"ACSM5",0.56177,15076,0.10872,5483
"ACSS1",0.56373,15098,0.53516,14416
"ACSS2",0.6239,15924,0.49671,13832
"ACSS3",0.6671,16528,0.4211,12722
"ACTA1",0.3323,11540,0.49338,13774
"ACTA2",0.021884,1873,0.20405,8270
"ACTB",0.99863,20344,3.3626e-07,72
"ACTBL2",0.35705,12018,0.66434,16232
"ACTC1",0.96043,19413,0.007574,970
"ACTG1",0.87204,18610,0.0062308,869
"ACTG2",0.66609,16512,0.53114,14363
"ACTL10",0.097082,5443,0.27663,9944
"ACTL6A",0.065214,4227,0.45303,13178
"ACTL6B",0.18748,8432,0.82458,18003
"ACTL7A",0.049382,3400,0.23766,9027
"ACTL7B",0.2858,10623,0.094264,4967
"ACTL8",0.15944,7558,0.3132,10760
"ACTL9",0.44669,13505,0.30018,10507
"ACTN1",0.12948,6560,0.69241,16494
"ACTN2",0.21982,9186,0.66939,16277
"ACTN3",0.13877,6888,0.4799,13568
"ACTN4",0.087641,5094,0.8262,18027
"ACTR10",0.34396,11747,0.52243,14230
"ACTR1A",0.99149,20088,0.019196,1701
"ACTR1B",0.57877,15303,0.72496,16791
"ACTR2",0.18109,8219,0.037749,2667
"ACTR3",0.23158,9435,0.32827,11075
"ACTR3B",0.51875,14461,0.09628,5030
"ACTR3C",0.51816,14454,0.10074,5186
"ACTR5",0.83689,18207,0.17797,7636
"ACTR6",0.99285,20138,0.0017306,484
"ACTR8",0.95705,19354,0.14941,6834
"ACTRT1",0.089631,5171,0.18604,7839
"ACTRT2",0.19814,8713,0.1225,5956
"ACTRT3",0.68347,16722,0.4244,12763
"ACVR1",0.44016,13425,0.99287,20222
"ACVR1B",0.015262,1464,0.39109,12336
"ACVR1C",0.34181,11707,0.58319,15153
"ACVR2A",0.14275,7020,0.23255,8905
"ACVR2B",0.051472,3519,0.7416,16968
"ACVRL1",0.29136,10733,0.20322,8240
"ACY1",0.0031217,449,0.67759,16359
"ACY3",0.014648,1415,0.65913,16188
"ACYP1",0.0517,3533,0.065202,3913
"ACYP2",0.044997,3170,0.35366,11663
"AD000671.6",0.023293,1966,0.96726,19563
"ADA",0.30757,11059,0.086279,4661
"ADAD1",0.64972,16280,0.37206,12020
"ADAD2",0.98391,19887,0.11898,5854
"ADAL",0.39907,12809,0.5187,14166
"ADAM10",0.99976,20406,6.8738e-10,25
"ADAM11",0.040472,2922,0.2226,8685
"ADAM12",0.85214,18379,0.12921,6192
"ADAM15",0.061495,4045,0.42802,12818
"ADAM17",0.97441,19658,0.14539,6710
"ADAM18",0.7235,17069,0.010818,1205
"ADAM19",0.34945,11851,0.1095,5516
"ADAM2",0.38223,12510,0.088158,4739
"ADAM20",0.32119,11319,0.10518,5361
"ADAM21",0.093858,5330,0.19788,8112
"ADAM22",0.083285,4942,0.3637,11858
"ADAM23",0.033326,2527,0.30642,10628
"ADAM28",0.12412,6373,0.28196,10082
"ADAM29",0.0019616,343,0.99559,20296
"ADAM30",0.038954,2847,0.60329,15470
"ADAM32",0.014202,1371,0.23911,9073
"ADAM33",0.20219,8800,0.0037639,677
"ADAM7",0.16341,7675,0.5428,14520
"ADAM8",0.049668,3413,0.043412,2949
"ADAM9",0.12271,6319,0.13477,6374
"ADAMDEC1",0.48465,14021,0.33813,11311
"ADAMTS1",0.098082,5472,0.54983,14622
"ADAMTS10",0.92509,19006,0.52291,14237
"ADAMTS12",0.50139,14242,0.42752,12810
"ADAMTS13",0.55965,15041,0.11612,5738
"ADAMTS14",0.032754,2497,0.80432,17746
"ADAMTS15",0.00073895,207,0.06488,3901
"ADAMTS16",0.048442,3341,0.066772,3963
"ADAMTS17",0.036122,2676,0.052624,3390
"ADAMTS18",0.1748,8021,0.8824,18639
"ADAMTS19",0.39004,12664,0.077713,4383
"ADAMTS2",0.5995,15597,0.042549,2905
"ADAMTS20",0.29275,10767,0.82102,17966
"ADAMTS3",0.7072,16915,0.3514,11615
"ADAMTS4",0.13508,6768,0.35808,11755
"ADAMTS5",0.44229,13450,0.027063,2127
"ADAMTS6",0.29565,10823,0.090317,4828
"ADAMTS7",0.13573,6784,0.14545,6711
"ADAMTS8",0.16146,7618,0.32627,11032
"ADAMTS9",0.8232,18047,0.054519,3484
"ADAMTSL1",0.42442,13197,0.055214,3519
"ADAMTSL2",0.59395,15522,0.25576,9466
"ADAMTSL3",0.66586,16508,0.0004036,271
"ADAMTSL4",0.21978,9185,0.76927,17316
"ADAMTSL4-AS1",0.055602,3745,0.98807,20101
"ADAMTSL5",0.50475,14290,0.41203,12614
"ADAP1",0.11607,6077,0.949,19239
"ADAP2",0.17211,7944,0.10281,5264
"ADAR",0.16431,7700,0.66288,16218
