"HumanGene","GammadeltaTcells_Daudi_Gammadelta_posscore","GammadeltaTcells_Daudi_Gammadelta_posrank","GammadeltaTcells_Daudi_Gammadelta_negscore","GammadeltaTcells_Daudi_Gammadelta_negrank"
"EIF3C",0.98879,16062,0.011212,2274
"EIF3CL",0.43622,9649,0.047252,2896
"EIF3D",1,17923,1.921e-07,95
"EIF3E",0.90835,14509,0.0032455,1939
"EIF3F",0.99992,17203,8.2669e-05,961
"EIF3G",0.99947,16834,0.00053024,1445
"EIF3H",0.99759,16489,0.0011861,1684
"EIF3I",0.99793,16525,2.5446e-05,684
"EIF3J",0.99973,16957,0.00097627,1630
"EIF3K",0.99996,17327,4.3496e-05,804
"EIF3L",0.99993,17229,5.0781e-05,849
"EIF3M",0.94885,15155,0.021399,2557
"EIF4A1",1,17913,2.2479e-07,105
"EIF4A2",0.21213,6612,0.83333,12454
"EIF4A3",1,17915,2.1622e-07,103
"EIF4B",0.99367,16249,0.0063339,2103
"EIF4E",0.99674,16427,0.0032558,1941
"EIF4E1B",0.23277,6888,0.98499,17224
"EIF4E2",0.99539,16343,0.00092565,1619
"EIF4E3",0.35571,8526,0.30746,5218
"EIF4EBP1",0.82568,13252,0.75709,10786
"EIF4EBP2",0.35734,8543,0.74596,10578
"EIF4EBP3",0.75611,12446,0.81058,11849
"EIF4ENIF1",0.99949,16843,0.00050988,1431
"EIF4G1",0.99976,16980,0.00023677,1225
"EIF4G2",0.99443,16291,0.017638,2446
"EIF4G3",0.92786,14803,0.33952,5583
"EIF4H",0.99993,17246,6.6377e-05,907
"EIF5",0.99971,16941,0.00029067,1270
"EIF5A",0.99999,17563,1.0483e-05,497
"EIF5A2",0.0045699,581,0.75748,10791
"EIF5AL1",0.6689,11704,0.019355,2502
"EIF5B",0.93976,14999,0.017243,2436
"EIF6",0.99997,17394,1.4022e-05,552
"ELAC1",0.20296,6497,0.96241,16379
"ELAC2",0.99981,17024,1.0855e-05,503
"ELANE",0.18009,6143,0.45181,7132
"ELAVL1",0.99876,16643,0.0012429,1696
"ELAVL2",0.52668,10715,0.17796,4254
"ELAVL3",0.83887,13425,0.29103,5044
"ELAVL4",0.58412,11084,0.37535,6042
"ELF1",0.15314,5512,0.022719,2579
"ELF2",0.99813,16551,0.0018668,1827
"ELF3",0.88813,14175,0.025894,2658
"ELF4",0.00063234,167,0.99288,17570
"ELF5",0.21216,6613,0.64041,8978
"ELFN1",0.25136,7127,0.79245,11490
"ELFN2",0.014842,1216,0.95582,16158
"ELK1",0.079239,3637,0.1693,4216
"ELK3",0.52736,10721,0.38568,6171
"ELK4",0.6052,11232,0.61088,8638
"ELL",0.99905,16696,0.00062605,1499
"ELL2",0.50108,10569,0.60169,8538
"ELL3",0.23886,6955,0.95287,16057
"ELMO1",0.63172,11413,0.0055276,2070
"ELMO2",0.48915,10421,0.81859,12050
"ELMO3",0.52974,10737,0.96834,16590
"ELMOD1",0.26265,7277,0.68502,9555
"ELMOD2",0.18046,6158,0.88949,14035
"ELMOD3",0.81528,13131,0.13892,3848
"ELMSAN1",0.94533,15101,0.08206,3230
"ELN",0.43615,9647,0.93081,15328
"ELOF1",0.99999,17539,1.3873e-05,549
"ELOVL1",0.39298,9048,0.62103,8752
"ELOVL2",0.89933,14354,0.46894,7355
"ELOVL3",0.67832,11777,0.84617,12824
"ELOVL4",0.7007,11958,0.36126,5859
"ELOVL5",0.30752,7855,0.60262,8544
"ELOVL6",0.065707,3286,0.88899,14017
"ELOVL7",0.24098,6980,0.76784,10984
"ELP2",0.99956,16871,0.00043516,1381
"ELP3",1,17840,8.2415e-07,194
"ELP4",0.99996,17334,4.2442e-05,798
"ELP5",0.99845,16594,0.0007522,1556
"ELP6",1,17701,4.1728e-06,355
"ELSPBP1",0.15074,5469,0.73113,10326
"ELTD1",0.22518,6789,0.9775,16927
