"HumanGene","GammadeltaTcells_Daudi_Gammadelta_posscore","GammadeltaTcells_Daudi_Gammadelta_posrank","GammadeltaTcells_Daudi_Gammadelta_negscore","GammadeltaTcells_Daudi_Gammadelta_negrank"
"A1BG",0.77896,12690,0.4416,6976
"A1CF",0.61207,11281,0.54832,8052
"A2M",0.89298,14246,0.81679,12007
"A2ML1",0.92169,14714,0.83981,12626
"A3GALT2",0.017468,1390,0.89756,14295
"A4GALT",0.9021,14400,0.10665,3468
"A4GNT",0.80992,13056,0.44676,7055
"AAAS",0.35252,8473,0.35327,5757
"AACS",0.23243,6883,0.98476,17213
"AADAC",0.79482,12883,0.91827,14898
"AADACL2",0.42614,9494,0.3953,6313
"AADACL3",0.052608,2892,0.77349,11093
"AADACL4",0.31544,7960,0.58687,8388
"AADAT",0.32043,8024,0.65791,9169
"AAED1",0.11484,4527,0.30256,5167
"AAGAB",0.9985,16600,0.0014958,1756
"AAK1",0.011223,1010,0.41706,6618
"AAMDC",0.11502,4532,0.56872,8222
"AAMP",0.98673,15988,0.00013302,1080
"AANAT",0.22708,6811,0.54015,7990
"AAR2",0.93035,14840,0.75235,10698
"AARD",0.45079,9860,0.93404,15419
"AARS",1,17799,1.457e-06,235
"AARS2",1,17938,1.4116e-07,79
"AARSD1",0.15926,5652,0.94435,15765
"AASDH",0.8445,13494,0.38803,6205
"AASDHPPT",0.99792,16524,0.0020829,1855
"AASS",0.72132,12130,0.89865,14331
"AATF",1,17721,3.7055e-06,335
"AATK",0.46352,10048,0.83141,12412
"ABAT",0.40323,9182,0.82565,12238
"ABCA1",0.2913,7647,0.8975,14292
"ABCA10",0.47709,10246,0.92978,15288
"ABCA12",0.090075,3921,0.53841,7976
"ABCA13",0.078665,3623,0.77562,11132
"ABCA2",0.95036,15192,0.4485,7087
"ABCA3",0.71517,12082,0.48479,7582
"ABCA4",0.050734,2839,0.74101,10492
"ABCA5",0.40844,9250,0.89131,14090
"ABCA6",0.082082,3711,0.92599,15164
"ABCA7",0.0823,3717,0.60334,8554
"ABCA8",0.094606,4034,0.98971,17431
"ABCA9",0.86479,13821,0.40577,6459
"ABCB1",0.0051175,616,0.71341,10026
"ABCB10",0.0064166,705,0.92394,15091
"ABCB11",0.81344,13104,0.82155,12127
"ABCB4",0.68478,11818,0.76115,10870
"ABCB5",0.94114,15025,0.11507,3566
"ABCB6",0.32945,8134,0.835,12500
"ABCB7",1,17832,9.0745e-07,201
"ABCB8",0.12259,4727,0.93745,15541
"ABCB9",0.021517,1616,0.99162,17515
"ABCC1",0.70116,11963,0.67856,9455
"ABCC10",0.97173,15617,0.1108,3525
"ABCC11",0.17641,6061,0.96376,16420
"ABCC12",0.16545,5790,0.77235,11071
"ABCC2",0.97674,15735,0.87374,13597
"ABCC3",0.020553,1574,0.98696,17314
"ABCC4",0.026899,1897,0.9879,17355
"ABCC5",0.35988,8579,0.60889,8620
"ABCC6",0.22701,6810,0.24887,4684
"ABCC8",0.043726,2641,0.79025,11441
"ABCC9",0.81144,13077,0.93455,15430
"ABCD1",0.050109,2817,0.6389,8956
"ABCD2",0.06506,3270,0.93349,15398
"ABCD3",0.036992,2437,0.867,13401
"ABCD4",0.87004,13903,0.72782,10268
"ABCE1",0.99999,17545,1.3423e-05,544
"ABCF1",0.9872,16005,0.00011071,1027
"ABCF2",0.95585,15295,0.36875,5956
"ABCF3",0.0063129,701,0.9951,17670
"ABCG1",0.47583,10231,0.98442,17194
"ABCG2",0.070863,3430,0.38493,6159
"ABCG4",0.15774,5615,0.61663,8698
"ABCG5",0.73787,12275,0.86067,13231
"ABCG8",0.22118,6730,0.95203,16021
"ABHD1",0.021454,1610,0.84008,12636
"ABHD10",0.30088,7767,0.76556,10944
"ABHD11",0.99073,16119,0.016334,2409
"ABHD12",0.16848,5869,0.87051,13512
"ABHD12B",0.92257,14725,0.84684,12838
"ABHD13",0.99911,16709,0.00089414,1606
"ABHD14A",0.043081,2624,0.46944,7366
"ABHD14B",0.1997,6447,0.52167,7855
"ABHD15",0.22711,6812,0.26671,4818
"ABHD16A",0.96011,15370,0.38936,6226
"ABHD16B",0.64783,11540,0.63544,8915
"ABHD17A",0.96571,15497,0.048077,2904
"ABHD17B",0.62939,11400,0.080152,3208
"ABHD17C",0.11566,4551,0.84743,12861
"ABHD2",0.86632,13844,0.36595,5921
"ABHD3",0.52075,10689,0.72267,10176
"ABHD4",0.15661,5589,0.82893,12338
"ABHD5",0.88831,14176,0.10882,3501
"ABHD6",0.32007,8018,0.039064,2828
"ABHD8",0.9545,15270,0.27049,4846
"ABI1",0.54743,10832,0.9695,16635
"ABI2",0.40034,9144,0.78223,11267
"ABI3",0.26717,7334,0.61323,8660
"ABI3BP",0.20324,6501,0.38019,6105
"ABL1",0.29058,7635,0.95749,16209
"ABL2",0.80949,13053,0.76078,10864
"ABLIM1",0.11388,4505,0.98234,17102
"ABLIM2",0.042598,2606,0.81773,12026
"ABLIM3",0.096958,4091,0.88403,13862
"ABR",0.05828,3074,0.84919,12914
"ABRA",0.13885,5151,0.78057,11232
"ABRACL",0.6963,11919,0.75822,10803
"ABT1",0.99642,16397,0.00017713,1149
"ABTB1",0.13792,5116,0.67906,9463
"ABTB2",0.0022766,397,0.99188,17527
"ACAA1",0.032808,2226,0.90139,14401
"ACAA2",0.93914,14991,0.7601,10850
"ACACA",0.41023,9270,0.00015573,1119
"ACACB",0.10378,4262,0.95405,16091
"ACAD10",0.12282,4733,0.82579,12241
"ACAD11",0.00095275,224,0.99343,17591
"ACAD8",0.082903,3731,0.97772,16937
"ACAD9",0.98895,16070,0.0033933,1950
"ACADL",0.51612,10659,0.92056,14977
"ACADM",0.39731,9103,0.90098,14393
"ACADS",0.8956,14292,0.87178,13544
"ACADSB",0.18576,6245,0.48864,7609
"ACADVL",0.076309,3564,0.87611,13653
"ACAN",0.93696,14952,0.72969,10299
"ACAP1",0.054209,2947,0.68407,9534
"ACAP2",0.46451,10066,0.56263,8167
"ACAP3",0.14946,5441,0.97412,16817
"ACAT1",0.26141,7261,0.43217,6840
"ACAT2",1.1674e-10,7,1,18000
"ACBD3",0.32148,8036,0.75433,10742
"ACBD4",0.99896,16674,0.0010448,1644
"ACBD5",0.83232,13339,0.050979,2932
"ACBD6",0.030438,2110,0.74521,10561
"ACBD7",0.60225,11207,0.084158,3248
"ACCS",0.42791,9527,0.39295,6283
"ACCSL",0.58204,11062,0.67348,9381
"ACD",0.15387,5524,0.29318,5062
"ACE",0.49796,10548,0.93921,15599
"ACE2",0.00076528,191,0.99923,17909
"ACER1",0.98823,16044,0.21055,4439
"ACER2",0.94442,15089,0.22233,4506
"ACER3",0.077627,3596,0.92977,15287
"ACHE",0.77814,12684,0.30609,5210
"ACIN1",0.99968,16923,0.00032222,1298
"ACKR2",0.17742,6082,0.7924,11488
"ACKR3",0.015966,1301,0.99202,17534
"ACKR4",0.26012,7240,0.65668,9151
"ACLY",0.9999,17173,9.6601e-05,997
"ACMSD",0.08914,3887,0.7443,10544
"ACN9",0.029668,2054,0.34434,5644
"ACO1",0.014859,1217,0.64023,8976
"ACO2",0.99998,17498,1.7138e-05,601
"ACOT1",0.084502,3769,0.80492,11734
"ACOT11",0.32793,8111,0.58329,8355
"ACOT12",0.0020685,371,0.8471,12846
"ACOT13",0.47169,10167,0.27528,4888
"ACOT2",0.062958,3207,0.93054,15316
"ACOT4",0.22998,6849,0.55956,8148
"ACOT6",0.11821,4607,0.96445,16449
"ACOT7",0.025922,1842,0.74577,10574
"ACOT8",0.37735,8842,0.73768,10433
"ACOT9",0.31886,8007,0.88819,13988
"ACOX1",0.27164,7391,0.78377,11305
"ACOX2",0.4864,10384,0.66113,9206
"ACOX3",0.0072359,756,0.82294,12170
"ACOXL",0.77901,12692,0.666,9272
"ACP1",0.36309,8641,0.35804,5818
"ACP2",0.8919,14231,0.4428,6994
"ACP5",0.9729,15639,0.85411,13045
"ACP6",0.094664,4036,0.82811,12311
"ACPL2",0.35896,8565,0.57008,8237
"ACPP",0.019229,1496,0.88209,13808
"ACPT",0.33531,8215,0.98537,17244
"ACR",0.79206,12847,0.17361,4240
"ACRBP",0.53522,10768,0.77295,11084
"ACRC",0.048337,2766,0.69688,9756
"ACRV1",0.0014546,288,0.96517,16473
"ACSBG1",0.71858,12109,0.44798,7081
"ACSBG2",0.32464,8070,0.34698,5681
"ACSF2",0.32241,8043,0.98311,17136
"ACSF3",0.056655,3026,0.91962,14952
"ACSL1",0.59889,11181,0.96162,16353
"ACSL3",3.9168e-05,51,0.99996,17974
"ACSL4",1,17784,1.743e-06,252
"ACSL5",0.048793,2781,0.78413,11314
"ACSL6",0.069865,3399,0.36361,5890
"ACSM1",0.48264,10335,0.95614,16167
"ACSM2A",0.15031,5457,0.61656,8697
"ACSM2B",0.42735,9515,0.084175,3251
"ACSM3",0.9892,16076,0.1027,3423
"ACSM4",0.19122,6324,0.67939,9467
"ACSM5",0.25951,7235,0.37051,5981
"ACSS1",0.02946,2045,0.95887,16261
"ACSS2",0.76685,12555,0.88871,14010
"ACSS3",0.0017896,333,0.99821,17840
"ACTA1",0.059531,3106,0.92893,15250
"ACTA2",0.068438,3356,0.89808,14313
"ACTB",0.99908,16704,0.00091591,1613
"ACTBL2",0.20091,6463,0.7681,10991
"ACTC1",0.21454,6643,0.30779,5224
"ACTG1",0.97581,15714,0.13959,3855
"ACTG2",0.05993,3116,0.89095,14079
"ACTL10",0.24882,7097,0.97239,16760
"ACTL6A",0.99999,17586,9.8379e-06,491
"ACTL6B",0.80143,12957,0.14751,3941
"ACTL7A",0.1396,5170,0.98032,17024
"ACTL7B",0.11245,4471,0.90795,14587
"ACTL8",0.44577,9792,0.75309,10709
"ACTL9",0.81708,13148,0.97759,16932
"ACTN1",0.048346,2767,0.92451,15110
"ACTN2",0.4802,10299,0.66382,9246
"ACTN4",0.19241,6337,0.46043,7247
"ACTR10",0.99971,16943,0.00028632,1266
"ACTR1A",0.99993,17234,7.0606e-05,921
"ACTR1B",0.50471,10588,0.77121,11043
"ACTR2",0.99998,17469,2.0009e-05,637
"ACTR3",0.98863,16057,0.084759,3255
"ACTR3B",0.36368,8646,0.064334,3052
"ACTR3C",0.92957,14824,0.11239,3539
"ACTR5",0.99135,16155,0.00034952,1320
"ACTR6",0.56298,10929,0.00090403,1610
"ACTR8",0.99998,17475,1.9513e-05,631
"ACTRT1",0.004611,584,0.86618,13377
"ACTRT2",0.77578,12655,0.66204,9215
"ACTRT3",0.77717,12671,0.79476,11534
"ACVR1",0.089505,3903,0.95524,16140
"ACVR1B",0.93578,14939,0.50775,7748
"ACVR1C",0.19285,6343,0.89019,14056
"ACVR2A",0.083847,3755,0.48848,7601
"ACVR2B",0.27345,7420,0.68263,9514
"ACVRL1",0.41208,9295,0.91205,14705
"ACY1",0.97394,15661,0.53943,7985
"ACY3",0.29242,7667,0.69643,9751
"ACYP1",0.69147,11870,0.63878,8954
"ACYP2",0.062793,3205,0.88511,13900
"ADA",0.40587,9227,0.82121,12118
"ADAD1",0.027257,1916,0.85838,13175
"ADAD2",0.45566,9940,0.72327,10185
"ADAL",0.14454,5308,0.67775,9438
"ADAM10",0.98294,15884,0.0053885,2062
"ADAM11",0.64444,11512,0.5063,7737
"ADAM12",0.86065,13749,0.61154,8645
"ADAM15",0.85272,13616,0.42255,6694
"ADAM17",0.38563,8941,0.44199,6982
"ADAM18",0.99359,16242,0.084158,3247
"ADAM19",0.059557,3108,0.98374,17171
"ADAM2",0.0031416,488,0.67703,9432
"ADAM20",0.053006,2901,0.96529,16478
"ADAM21",0.8016,12959,0.018424,2475
"ADAM22",3.1072e-05,47,0.99997,17975
"ADAM23",0.0221,1649,0.85333,13025
"ADAM28",0.26669,7324,0.89653,14265
"ADAM29",0.077116,3581,0.87414,13609
"ADAM30",0.097226,4097,0.99322,17584
"ADAM32",0.49246,10465,0.064161,3049
"ADAM33",0.43804,9683,0.35255,5745
"ADAM7",0.13224,4970,0.8645,13334
"ADAM8",0.040434,2534,0.96681,16531
"ADAM9",0.016893,1352,0.94695,15849
"ADAMDEC1",0.083322,3743,0.93966,15613
"ADAMTS1",0.44207,9740,0.88426,13868
"ADAMTS10",0.96332,15429,0.82852,12327
"ADAMTS12",0.90901,14516,0.8023,11674
"ADAMTS13",0.48065,10306,0.27522,4887
"ADAMTS14",0.33826,8255,0.84488,12780
"ADAMTS15",0.1243,4778,0.63932,8963
"ADAMTS16",0.021766,1625,0.90888,14608
"ADAMTS17",0.016808,1347,0.91459,14791
"ADAMTS18",0.020327,1557,0.89332,14160
"ADAMTS19",0.0043655,568,0.90685,14556
"ADAMTS2",0.022852,1691,0.59932,8513
"ADAMTS20",0.76711,12560,0.56171,8163
"ADAMTS3",0.044038,2654,0.52669,7883
"ADAMTS4",0.14664,5360,0.025184,2641
"ADAMTS5",0.72261,12150,0.95273,16051
"ADAMTS6",0.32489,8076,0.13553,3802
"ADAMTS7",0.014673,1212,0.95797,16224
"ADAMTS8",0.46221,10029,0.97451,16835
"ADAMTS9",0.28562,7574,0.84143,12673
"ADAMTSL1",0.041267,2569,0.55365,8102
"ADAMTSL2",0.85406,13642,0.44977,7107
"ADAMTSL3",0.11877,4621,0.57628,8283
"ADAMTSL4",0.92987,14831,0.11369,3549
"ADAMTSL5",0.71894,12116,0.68022,9476
"ADAP1",0.063161,3214,0.72518,10215
"ADAP2",0.37844,8853,0.068442,3091
"ADAR",0.98907,16073,0.1082,3492
"ADARB1",0.029076,2027,0.74616,10581
"ADARB2",0.042781,2613,0.90334,14463
"ADAT1",0.70374,11979,0.088836,3287
"ADAT2",0.9022,14404,0.0013963,1734
"ADAT3",1,17945,1.212e-07,72
"ADC",0.16646,5815,0.95058,15974
"ADCK1",0.47876,10273,0.95516,16135
"ADCK2",0.37683,8833,0.74766,10609
"ADCK3",0.27857,7482,0.19383,4335
"ADCK4",0.60731,11249,0.8505,12949
"ADCK5",0.97502,15687,0.30465,5197
"ADCY1",0.40997,9267,0.70717,9914
"ADCY10",0.30805,7862,0.68401,9532
"ADCY2",0.82493,13242,0.27434,4876
"ADCY3",0.10967,4393,0.55938,8146
"ADCY4",0.1386,5145,0.9612,16337
"ADCY5",0.86228,13778,0.89201,14114
"ADCY6",0.27561,7449,0.65469,9126
"ADCY7",0.96051,15378,0.0041545,1996
"ADCY8",0.027546,1931,0.79915,11621
"ADCY9",0.34936,8420,0.86213,13270
"ADCYAP1",0.13411,5027,0.76285,10899
"ADCYAP1R1",0.93364,14904,0.15421,4023
"ADD1",0.19105,6321,0.55324,8099
"ADD2",0.015465,1256,0.35748,5810
"ADD3",0.16251,5721,0.91797,14886
"ADH1A",0.48127,10318,0.71259,10009
"ADH1B",0.069802,3398,0.69469,9729
"ADH4",0.51957,10678,0.13871,3845
"ADH5",0.94989,15181,0.72177,10162
"ADH6",0.66888,11703,0.89222,14120
"ADH7",0.11548,4542,0.78924,11420
"ADHFE1",0.77436,12635,0.15853,4083
"ADI1",0.81059,13064,0.54012,7989
"ADIG",0.36924,8718,0.9438,15748
"ADIPOQ",0.2585,7219,0.76962,11008
"ADIPOR1",0.23169,6878,0.69402,9720
"ADIPOR2",0.68817,11838,0.00063948,1503
"ADIRF",0.021051,1595,0.91363,14753
"ADK",0.15987,5667,0.93604,15487
"ADM",0.07449,3521,0.35483,5774
"ADM2",0.024926,1795,0.77529,11125
"ADM5",0.22871,6828,0.96813,16583
"ADNP",0.94168,15043,0.13688,3820
"ADNP2",0.12578,4814,0.1955,4343
"ADO",0.15038,5464,0.98796,17357
"ADORA1",0.85676,13693,0.12584,3680
"ADORA2A",0.9821,15859,0.017684,2450
"ADORA2B",0.37335,8775,0.85782,13153
"ADORA3",0.17616,6048,0.67577,9420
"ADPGK",0.005975,678,0.88291,13827
"ADPRH",0.069574,3391,0.71078,9973
"ADPRHL1",0.010045,927,0.96144,16347
"ADPRHL2",0.40373,9193,0.89523,14220
"ADPRM",0.83585,13379,0.39724,6339
"ADRA1A",0.04899,2786,0.77241,11073
"ADRA1B",0.02638,1866,0.67624,9425
"ADRA1D",0.027501,1928,0.89073,14072
"ADRA2A",0.13678,5091,0.98908,17404
"ADRA2B",0.48542,10375,0.69009,9652
"ADRA2C",0.89235,14238,0.68527,9561
"ADRB1",0.18737,6275,0.91135,14682
"ADRB2",0.0038251,534,0.99617,17717
"ADRB3",0.018598,1450,0.9495,15936
"ADRBK1",0.89562,14293,0.47519,7470
"ADRBK2",0.77884,12689,0.69335,9703
"ADRM1",0.70933,12023,0.17533,4248
"ADSL",1,17921,1.9698e-07,97
"ADSS",0.76242,12505,0.00022618,1216
"ADSSL1",0.053447,2924,0.419,6644
"ADTRP",0.83854,13422,0.79799,11595
"AEBP1",0.76341,12518,0.74707,10597
"AEBP2",0.89826,14335,0.69765,9765
"AEN",0.012315,1077,0.75154,10682
"AES",0.43093,9570,0.44547,7032
"AFAP1",0.39757,9107,0.30918,5240
"AFAP1L1",0.25992,7236,0.33976,5585
"AFAP1L2",0.29411,7688,0.93735,15536
"AFF1",0.1368,5092,0.5744,8267
"AFF2",0.62689,11386,0.091578,3317
"AFF3",1.4047e-05,36,0.99998,17982
"AFF4",0.99216,16189,0.15295,4001
"AFG3L2",0.98566,15957,0.073694,3140
"AFM",0.23552,6918,0.83695,12557
"AFMID",0.1053,4295,0.74123,10498
"AFP",0.3309,8158,0.87013,13500
"AFTPH",0.015652,1275,0.91183,14698
"AGA",0.032874,2235,0.9965,17734
"AGAP1",0.066128,3300,0.31819,5324
"AGAP2",0.086349,3814,0.36501,5906
"AGAP3",0.20149,6474,0.94523,15803
"AGAP5",0.72611,12175,0.27389,4872
"AGAP6",0.90625,14474,0.048317,2907
"AGAP7",0.37133,8748,0.62867,8839
"AGBL1",0.011234,1012,0.72055,10137
"AGBL2",0.59552,11157,0.81867,12052
"AGBL3",0.53724,10777,0.7349,10392
"AGBL4",0.008968,860,0.9903,17456
"AGBL5",0.14691,5365,0.9434,15735
"AGER",0.17742,6080,0.7217,10160
"AGFG1",0.39509,9083,0.93855,15575
"AGFG2",0.29754,7728,0.11686,3582
"AGGF1",0.42871,9533,0.6728,9371
"AGK",0.93784,14966,0.02451,2624
"AGL",0.8504,13588,0.32819,5429
"AGMAT",0.012463,1083,0.98233,17101
"AGMO",0.075577,3549,0.92065,14979
"AGO1",0.24779,7080,0.75396,10735
"AGO2",0.99943,16815,0.00056796,1470
"AGO3",0.7902,12827,0.78404,11311
"AGO4",0.36426,8655,0.91204,14704
"AGPAT1",0.99823,16562,0.0017731,1812
"AGPAT2",0.66113,11652,0.74768,10610
"AGPAT3",0.9376,14962,0.10912,3505
"AGPAT4",0.007199,754,0.96382,16423
"AGPAT5",0.32445,8067,0.80642,11766
"AGPAT6",0.033238,2257,0.91178,14694
"AGPAT9",0.15967,5663,0.15381,4018
"AGPS",0.11177,4448,0.68212,9505
"AGR2",0.86384,13806,0.46128,7259
"AGR3",0.84584,13516,0.26037,4772
"AGRN",0.15158,5483,0.92467,15118
"AGRP",0.85712,13698,0.46294,7282
"AGT",0.96502,15478,0.79453,11532
"AGTPBP1",0.039804,2511,0.90209,14425
"AGTR1",0.016685,1339,0.83197,12423
"AGTR2",0.1505,5467,0.56829,8217
"AGTRAP",0.43867,9693,0.41429,6569
"AGXT",0.075974,3558,0.7624,10891
"AGXT2",0.69701,11927,0.35568,5785
"AHCTF1",0.98728,16009,0.0028945,1924
"AHCY",1,17952,9.6525e-09,29
"AHCYL1",0.23084,6864,0.61362,8665
"AHCYL2",0.89912,14348,0.019026,2494
"AHDC1",0.06071,3138,0.98629,17288
"AHI1",0.0051947,621,0.86199,13266
"AHNAK",0.93615,14941,0.80056,11645
"AHNAK2",0.02885,2007,0.92217,15032
"AHR",0.061457,3164,0.93272,15375
"AHRR",0.76752,12563,0.46064,7248
"AHSA1",0.13455,5040,0.97253,16767
"AHSA2",0.50226,10573,0.40635,6465
"AHSG",0.29063,7636,0.96328,16402
"AHSP",0.02904,2023,0.94954,15938
"AICDA",0.89043,14210,0.87749,13697
"AIDA",0.7929,12859,0.64671,9040
"AIF1",0.18201,6188,0.86793,13429
"AIF1L",0.29237,7665,0.61962,8732
"AIFM1",0.99988,17131,3.3428e-05,744
"AIFM2",0.87762,14031,0.66066,9201
"AIFM3",0.71362,12064,0.14104,3866
"AIG1",0.1458,5343,0.96623,16515
"AIM1",0.024532,1770,0.94027,15635
"AIM2",0.13047,4930,0.98323,17143
"AIMP1",0.45794,9974,0.86693,13398
"AIMP2",0.9176,14636,0.40169,6403
"AIP",0.09779,4111,0.49153,7625
"AIPL1",0.035628,2385,0.95176,16014
"AIRE",0.015473,1257,0.86101,13243
"AJAP1",0.36083,8599,0.96127,16342
"AJUBA",0.43178,9585,0.81877,12056
"AK1",0.49573,10518,0.078137,3181
"AK2",1,17736,3.0742e-06,312
"AK3",0.84563,13513,0.43885,6932
"AK4",0.85781,13702,0.3189,5334
"AK5",0.30938,7880,0.85328,13022
"AK6",0.99988,17133,0.00011726,1042
"AK7",0.047679,2748,0.83798,12581
"AK8",0.36697,8690,0.077475,3173
"AK9",0.09588,4063,0.22256,4511
"AKAP1",0.46595,10091,0.68972,9644
"AKAP10",0.35055,8438,0.15191,3992
"AKAP11",0.68381,11811,0.47096,7388
"AKAP12",0.108,4355,0.6085,8615
"AKAP13",0.053623,2930,0.97786,16942
"AKAP14",0.24447,7037,0.65903,9178
"AKAP17A",0.21737,6676,0.82441,12210
"AKAP2",0.13292,4991,0.83953,12621
"AKAP3",0.41986,9417,0.91213,14708
"AKAP4",0.071125,3436,0.98231,17100
"AKAP5",0.85897,13719,0.85053,12950
"AKAP6",0.033676,2289,0.81908,12068
"AKAP7",0.22293,6758,0.92899,15255
"AKAP8",0.00043032,128,0.77466,11115
"AKAP8L",0.031297,2149,0.98193,17085
"AKAP9",0.19806,6422,0.55595,8119
"AKIP1",0.86962,13897,0.30508,5200
"AKIRIN1",0.14909,5429,0.53876,7980
"AKIRIN2",0.96336,15432,0.071843,3128
"AKNA",0.015136,1235,0.96149,16348
"AKNAD1",0.4783,10266,0.66739,9290
"AKR1A1",0.067721,3339,0.91386,14764
"AKR1B1",0.26653,7322,0.75841,10806
"AKR1B10",0.32248,8044,0.25351,4720
"AKR1B15",0.97201,15620,0.023786,2605
"AKR1C1",0.86205,13774,0.2474,4666
"AKR1C2",0.76937,12584,0.76205,10885
"AKR1C3",0.79062,12831,0.47515,7469
"AKR1C4",0.055796,3002,0.4128,6549
"AKR1D1",0.19884,6434,0.22763,4548
"AKR1E2",0.0017698,330,0.85173,12978
"AKR7A2",0.38454,8921,0.65476,9128
"AKR7A3",0.85928,13725,0.68635,9581
"AKT1",0.46435,10061,0.68524,9559
"AKT1S1",0.041805,2582,0.36302,5882
"AKT2",0.99995,17289,5.1644e-05,857
"AKT3",0.17186,5952,0.64767,9052
"AKTIP",0.24263,7003,0.16103,4113
"ALAD",0.80843,13042,0.15834,4078
"ALAS1",0.37399,8787,0.31958,5343
"ALAS2",0.11343,4492,0.72648,10245
"ALB",0.72937,12197,0.5056,7732
"ALCAM",0.0023084,403,0.88086,13778
"ALDH16A1",0.021662,1622,0.82338,12181
"ALDH18A1",0.76097,12490,2.138e-06,274
"ALDH1A1",0.055569,2988,0.94427,15761
"ALDH1A2",0.10422,4269,0.55467,8110
"ALDH1A3",0.1681,5858,0.78043,11230
"ALDH1B1",0.062418,3195,0.83588,12528
"ALDH1L1",0.016246,1317,0.76687,10971
"ALDH1L2",0.71405,12071,0.8003,11637
"ALDH2",0.75895,12472,0.47293,7426
"ALDH3A1",0.34131,8302,0.93669,15508
"ALDH3A2",0.043539,2636,0.85784,13155
"ALDH3B2",0.45559,9938,0.95368,16077
"ALDH4A1",0.65786,11622,0.42702,6759
"ALDH5A1",0.38834,8972,0.69288,9694
"ALDH6A1",0.32131,8034,0.68966,9642
"ALDH7A1",0.3061,7837,0.8901,14055
"ALDH8A1",0.050882,2844,0.80814,11802
"ALDH9A1",0.059158,3098,0.71664,10074
"ALDOA",1,17767,2.2725e-06,279
"ALDOB",0.021467,1612,0.9969,17758
"ALDOC",0.38167,8888,0.052382,2948
"ALG1",0.99901,16689,7.3654e-05,934
"ALG10",0.8748,13969,0.11884,3603
"ALG10B",0.8803,14060,0.038182,2818
"ALG11",0.99972,16947,0.00021961,1207
"ALG12",0.99997,17384,3.2676e-05,740
"ALG13",0.13656,5086,4.8636e-05,831
"ALG14",0.93852,14982,0.00016124,1125
"ALG1L",0.99114,16142,0.0088623,2198
"ALG2",1,17985,1.0744e-08,30
"ALG3",0.97032,15589,0.0011436,1674
"ALG5",0.99981,17035,0.00018542,1165
"ALG6",0.99971,16938,0.00029365,1274
"ALG8",0.99756,16486,0.00098646,1631
"ALG9",0.99999,17526,1.4824e-05,565
"ALK",0.031606,2160,0.72522,10216
"ALKBH1",0.13492,5049,0.66501,9258
"ALKBH2",0.27404,7426,0.40638,6466
"ALKBH3",0.17669,6069,0.76547,10942
"ALKBH4",0.69205,11879,0.89565,14232
"ALKBH5",0.88229,14098,0.2859,4993
"ALKBH6",0.16671,5822,0.7492,10642
"ALKBH7",0.63811,11461,0.93421,15424
"ALKBH8",0.339,8266,0.0096416,2219
"ALLC",0.13033,4929,0.83431,12478
"ALMS1",0.30018,7754,0.91933,14941
"ALOX12",0.47629,10238,0.83043,12391
"ALOX12B",0.29674,7717,0.82715,12287
"ALOX15",0.027338,1921,0.45012,7114
"ALOX15B",0.79214,12848,0.52616,7879
"ALOX5",0.12844,4881,0.81014,11842
"ALOX5AP",0.10064,4181,0.57608,8281
"ALOXE3",0.032771,2222,0.96665,16529
"ALPI",0.77341,12620,0.31173,5264
"ALPK1",0.019123,1490,0.65862,9176
"ALPK2",0.31408,7942,0.45536,7182
"ALPK3",0.36762,8697,0.78633,11363
"ALPL",0.96487,15472,0.58246,8346
"ALPP",0.0054915,642,0.99451,17642
"ALPPL2",0.75589,12443,0.16709,4196
"ALS2",0.0015678,301,0.99843,17854
"ALS2CL",0.19444,6373,0.58247,8347
"ALS2CR11",0.05101,2849,0.58659,8384
"ALS2CR12",0.15723,5604,0.64456,9017
"ALX1",0.35245,8471,0.79081,11455
"ALX3",0.042114,2591,0.60768,8607
"ALX4",0.03419,2320,0.71793,10091
"ALYREF",0.93753,14960,0.00093948,1624
"AMACR",0.55726,10896,0.32606,5403
"AMBN",0.26144,7262,0.39874,6361
"AMBP",0.49273,10468,0.88253,13819
"AMBRA1",0.99871,16639,0.0012922,1704
"AMD1",0.95251,15230,0.0031187,1935
"AMDHD1",0.35063,8441,0.44846,7085
"AMDHD2",0.6488,11544,0.77892,11195
"AMELX",0.27806,7478,0.44603,7042
"AMELY",0.028971,2016,0.87412,13608
"AMER1",0.36763,8698,0.90465,14500
"AMER2",0.43586,9639,0.61047,8635
"AMER3",0.22993,6846,0.74872,10631
"AMFR",0.73945,12301,0.13075,3740
"AMH",0.072648,3481,0.695,9730
"AMHR2",0.11085,4428,0.94089,15655
"AMICA1",0.86037,13742,0.45137,7129
"AMIGO1",0.31653,7978,0.92165,15009
"AMIGO2",0.004862,596,0.89009,14054
"AMIGO3",0.20657,6551,0.65288,9108
"AMMECR1",7.9361e-05,70,0.99937,17921
"AMMECR1L",0.44519,9783,0.74534,10565
"AMN",0.034182,2318,0.68632,9580
"AMN1",0.28548,7571,0.88033,13762
"AMOT",0.82986,13309,0.47313,7429
"AMOTL1",0.89368,14258,0.030898,2752
"AMOTL2",0.08235,3719,0.91758,14877
"AMPD1",0.21496,6648,0.70372,9854
"AMPD2",0.46441,10062,0.90526,14516
"AMPD3",0.32127,8032,0.99603,17709
"AMPH",0.24415,7028,0.76607,10956
"AMT",0.96957,15574,0.15975,4095
"AMTN",0.79466,12877,0.79944,11625
